feature,mean_abs_shap
EXT_SOURCE_MEAN,0.37564743
EXT_SOURCE_WEIGHTED,0.2061834
AMT_GOODS_PRICE,0.17741877
CREDIT_TERM,0.17241605
CODE_GENDER,0.11850693
NAME_EDUCATION_TYPE,0.096026644
AMT_ANNUITY,0.08988771
AGE_YEARS,0.0882888
FLAG_OWN_CAR,0.08573881
AMT_CREDIT,0.077896915
EXT_SOURCE_1_missing,0.06891092
EXT_SOURCE_3,0.06559445
DAYS_ID_PUBLISH,0.062433593
EXT_SOURCE_MIN,0.059204992
YEARS_EMPLOYED,0.056506682
EMPLOYED_LIFE_RATIO,0.056363825
NAME_FAMILY_STATUS,0.04297738
DAYS_LAST_PHONE_CHANGE,0.04103901
EXT_SOURCE_2,0.040718913
FLAG_DOCUMENT_3,0.040657047
